,phrase,phrase ids,sentiment values,overall sentiment,sentiment_value,sentence_index,splitset_label
0,"Brian De Palma is utterly mad : cinema mad , set-piece mad , style mad .",221765,0.58333,neutral,2,1550,3
1,"Designed to provide a mix of smiles and tears , `` Crossroads '' instead provokes a handful of unintentional howlers and numerous yawns .",221766,0.22222,negative,1,7900,3
2,"Mafia , rap stars and hood rats butt their ugly heads in a regurgitation of cinematic violence that gives brutal birth to an unlikely , but likable , hero . '",24121,0.65278,positive,3,1262,3
3,a boring parade of talking heads and technical gibberish that will do little to advance the Linux cause .,142768,0.27778,negative,1,7763,3
4,"a fun little timewaster , helped especially by the cool presence of Jean Reno .",43848,0.65278,positive,3,1491,3
5,"a good , if not entirely fresh , look at war .",43849,0.55556,neutral,2,1479,3
6,a hollow joke told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it .,3472,0.26389,negative,1,7575,3
7,a magnificent drama well worth tracking down .,43851,0.86111,very positive,4,1618,3
8,"a story we have n't seen on the big screen before , and it 's a story that we as Americans , and human beings , should know .",24130,0.76389,positive,3,1257,3
9,"an otherwise intense , twist-and-turn thriller that certainly should n't hurt talented young Gaghan 's resume .",24136,0.625,positive,3,1137,3
10,is an arthritic attempt at directing by Callie Khouri .,221811,0.23611,negative,1,7392,3
11,nothing scary here except for some awful acting and lame special effects .,142797,0.38889,negative,1,7540,3
12,plays like somebody spliced random moments of a Chris Rock routine into what is otherwise a cliche-riddled but self-serious spy thriller .,142802,0.30556,negative,1,7734,3
13,"plot holes so large and obvious a marching band might as well be stomping through them in clown clothes , playing a college football fight song on untuned instruments .",142803,0.069444,very negative,0,7749,3
14,"routine , harmless diversion and little else .",142804,0.76389,positive,3,7772,3
15,takes the beauty of baseball and melds it with a story that could touch anyone regardless of their familiarity with the sport,24165,0.61111,positive,3,1232,3
16,the movie is just a plain old monster .,142812,0.097222,very negative,0,7683,3
17,think of it as American Pie On Valium .,142819,0.56944,neutral,2,7706,3
18,turns so unforgivably trite in its last 10 minutes that anyone without a fortified sweet tooth will likely go into sugar shock .,142825,0.027778,very negative,0,7643,3
19,with `` The Bourne Identity '' we return to the more traditional action genre .,221853,0.63889,positive,3,1391,3
20,minutes of rolling musical back beat and supercharged cartoon warfare .,221904,0.58333,neutral,2,1230,3
21,A beautifully made piece of unwatchable drivel .,142996,0.41667,neutral,2,7871,3
22,"A beguiling , slow-moving parable about the collision of past and present on a remote seacoast in Iran .",43971,0.5,neutral,2,1583,3
23,A beguiling splash of pastel colors and prankish comedy from Disney .,24264,0.80556,very positive,4,1131,3
24,"A better title , for all concerned , might be Swept Under the Rug .",143003,0.25,negative,1,7603,3
25,"A big , gorgeous , sprawling swashbuckler that delivers its diversions in grand , uncomplicated fashion .",24267,0.90278,very positive,4,1273,3
26,A bloated gasbag thesis grotesquely impressed by its own gargantuan aura of self-importance ...,143012,0.055556,very negative,0,7664,3
27,"A breezy romantic comedy that has the punch of a good sitcom , while offering exceptionally well-detailed characters .",43975,0.88889,very positive,4,1605,3
28,"A broad , melodramatic estrogen opera that 's pretty toxic in its own right .",143023,0.20833,negative,1,7499,3
29,A by-the-numbers effort that wo n't do much to enhance the franchise .,143027,0.26389,negative,1,7403,3
30,"A cartoon that 's truly cinematic in scope , and a story that 's compelling and heartfelt -- even if the heart belongs to a big , four-legged herbivore .",43996,0.69444,positive,3,1342,3
31,"A celebration of quirkiness , eccentricity , and certain individuals ' tendency to let it all hang out , and damn the consequences .",24292,0.79167,positive,3,1166,3
32,A coarse and stupid gross-out .,143051,0.29167,negative,1,7554,3
33,"A coda in every sense , The Pinochet Case splits time between a minute-by-minute account of the British court 's extradition chess game and the regime 's talking-head survivors .",24304,0.86111,very positive,4,1155,3
34,A compelling Spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession .,24310,0.75,positive,3,1195,3
35,A deep and meaningful film .,24314,0.875,very positive,4,1141,3
36,"A delectable and intriguing thriller filled with surprises , Read My Lips is an original .",221979,0.83333,very positive,4,1304,3
37,A delightful coming-of-age story .,44035,0.72222,positive,3,1608,3
38,A delirious celebration of the female orgasm .,24322,0.56944,neutral,2,1198,3
39,"A densely constructed , highly referential film , and an audacious return to form that can comfortably sit among Jean-Luc Godard 's finest work .",44046,0.91667,very positive,4,1473,3
40,"A difficult , absorbing film that manages to convey more substance despite its repetitions and inconsistencies than do most films than are far more pointed and clear .",24331,0.73611,positive,3,1329,3
41,"A disappointment for those who love alternate versions of the Bard , particularly ones that involve deep fryers and hamburgers .",143069,0.26389,negative,1,7883,3
42,A dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going .,143085,0.20833,negative,1,7612,3
43,"A fast , funny , highly enjoyable movie .",24337,0.88889,very positive,4,1165,3
44,A film about a young man finding God that is accessible and touching to the marrow .,24342,0.70833,positive,3,1292,3
45,"A fitfully amusing romp that , if nothing else , will appeal to fans of Malcolm in the Middle and its pubescent star , Frankie Muniz .",143097,0.625,positive,3,7793,3
46,"A full world has been presented onscreen , not some series of carefully structured plot points building to a pat resolution .",44083,0.77778,positive,3,1397,3
47,A giggle a minute .,222013,0.90278,very positive,4,7448,3
48,A giggle-inducing comedy with snappy dialogue and winning performances by an unlikely team of Oscar-winners : Susan Sarandon and Goldie Hawn .,44101,0.77778,positive,3,1637,3
49,A good piece of work more often than not .,44107,0.66667,positive,3,1619,3
50,"A gorgeous , high-spirited musical from India that exquisitely blends music , dance , song , and high drama .",44110,0.86111,very positive,4,1487,3
51,"A gorgeous , witty , seductive movie .",44112,0.79167,positive,3,1557,3
52,A great ensemble cast ca n't lift this heartfelt enterprise out of the familiar .,143134,0.18056,very negative,0,7759,3
53,A grimly competent and stolid and earnest military courtroom drama .,44117,0.61111,positive,3,1554,3
54,"A gripping , searing portrait of a lost soul trying to find her way through life .",24359,0.55556,neutral,2,1218,3
55,"A gripping movie , played with performances that are all understated and touching .",44122,0.88889,very positive,4,1653,3
56,A hamfisted romantic comedy that makes our girl the hapless facilitator of an extended cheap shot across the Mason-Dixon line .,143142,0.38889,negative,1,7505,3
57,"A lackluster , unessential sequel to the classic Disney adaptation of J.M. Barrie 's Peter Pan .",222034,0.15278,very negative,0,7770,3
58,"A lean , deftly shot , well-acted , weirdly retro thriller that recalls a raft of '60s and '70s European-set spy pictures .",44144,0.83333,very positive,4,1411,3
59,A literate presentation that wonderfully weaves a murderous event in 1873 with murderous rage in 2002 .,24372,0.86111,very positive,4,1180,3
60,A marvel like none you 've seen .,44157,0.79167,positive,3,1441,3
61,A mess when it comes to the characters and writing ... but works its way underneath the skin like few movies have in recent memory .,44163,0.52778,neutral,2,1577,3
62,"A misogynistic piece of filth that attempts to pass itself off as hip , young adult entertainment .",143209,0.097222,very negative,0,7810,3
63,A momentary escape from the summer heat and the sedentary doldrums that set in at this time of year .,143221,0.59722,neutral,2,7705,3
