phrase,phrase ids,sentiment values,overall sentiment,sentiment_value,sentence_index,splitset_label
The Sum of All Fears is simply a well-made and satisfying thriller .,102340,0.88889,very positive,4,4860,1
They 're out there ! '',221244,0.61111,positive,3,7251,1
is a temporal inquiry that shoulders its philosophical burden lightly .,221388,0.69444,positive,3,5477,1
I also wanted a little alien as a friend !,221714,0.69444,positive,3,5576,1
"West Coast rap wars , this modern mob music drama never fails to fascinate .",221716,0.76389,positive,3,2338,1
greaseballs mob action-comedy .,142685,0.36111,negative,1,7166,1
spy action flick with Antonio Banderas and Lucy Liu never comes together .,221720,0.16667,very negative,0,11305,1
"style cross-country adventure ... it has sporadic bursts of liveliness , some so-so slapstick and a few ear-pleasing songs on its soundtrack .",221722,0.70833,positive,3,11409,1
but certainly hard to hate .,221739,0.61111,positive,3,7163,1
but it makes for one of the most purely enjoyable and satisfying evenings at the movies I 've had in a while .,221741,0.81944,very positive,4,2732,1
is a crime that should be punishable by chainsaw .,221750,0.27778,negative,1,6580,1
that the ` true story ' by which All the Queen 's Men is allegedly `` inspired '' was a lot funnier and more deftly enacted than what 's been cobbled together onscreen .,221754,0.22222,negative,1,7778,1
was a fad that had long since vanished .,221761,0.41667,neutral,2,10865,1
"Blade II is still top-heavy with blazing guns , cheatfully filmed martial arts , disintegrating bloodsucker computer effects and jagged camera moves that serve no other purpose than to call attention to themselves .",181282,0.16667,very negative,0,11495,1
"Despite lagging near the finish line , the movie runs a good race , one that will have you at the edge of your seat for long stretches . '",62545,0.77778,positive,3,3019,1
"Ice Age treads predictably along familiar territory , making it a passable family film that wo n't win many fans over the age of 12 .",103179,0.43056,neutral,2,5877,1
"Jones , despite a definitely distinctive screen presence , just is n't able to muster for a movie that , its title notwithstanding , should have been a lot nastier if it wanted to fully capitalize on its lead 's specific gifts .",103180,0.55556,neutral,2,5998,1
Liotta is put in an impossible spot because his character 's deceptions ultimately undo him and the believability of the entire scenario .,221768,0.27778,negative,1,9890,1
Myers has turned his franchise into the movie version of an adolescent dirty-joke book done up in post-Tarantino pop-culture riffs ...,103182,0.5,neutral,2,4879,1
Pray does n't have a passion for the material .,221770,0.30556,negative,1,2950,1
Rogers 's mouth never stops shut about the war between the sexes and how to win the battle .,62548,0.68056,positive,3,3444,1
"Stylistically , the movie is a disaster .",221771,0.11111,very negative,0,7144,1
"Tara Reid plays a college journalist , but she looks like the six-time winner of the Miss Hawaiian Tropic Pageant , so I do n't know what she 's doing in here ...",142764,0.34722,negative,1,7062,1
The movie feels stitched together from stock situations and characters from other movies .,221773,0.25,negative,1,9515,1
"Wallace is smart to vary the pitch of his movie , balancing deafening battle scenes with quieter domestic scenes of women back home receiving War Department telegrams .",62550,0.77778,positive,3,3486,1
Watching it was painful .,221774,0.31944,negative,1,11617,1
Bowling for Columbine '' remains a disquieting and thought-provoking film ...,221775,0.77778,positive,3,2737,1
"a bland , pretentious mess .",142767,0.22222,negative,1,7111,1
a bland murder-on-campus yawner .,3467,0.013889,very negative,0,6173,1
"a cheap , ludicrous attempt at serious horror .",103184,0.11111,very negative,0,6476,1
a cinematic disaster so inadvertently sidesplitting it 's worth the price of admission for the ridicule factor alone .,142769,0.31944,negative,1,6992,1
"a complete shambles of a movie so sloppy , so uneven , so damn unpleasant that I ca n't believe any viewer , young or old , would have a good time here .",103185,0.027778,very negative,0,6616,1
a confusing drudgery .,221776,0.22222,negative,1,11821,1
a delicious crime drama on par with the slickest of Mamet .,62551,0.93056,very positive,4,4257,1
"a delightfully unpredictable , hilarious comedy with wonderful performances that tug at your heart in ways that utterly transcend gender labels .",103186,0.875,very positive,4,4843,1
a fairly disposable yet still entertaining B picture .,103187,0.45833,neutral,2,5150,1
"a fascinating curiosity piece -- fascinating , that is , for about ten minutes .",221777,0.30556,negative,1,10773,1
a funny yet dark and seedy clash of cultures and generations .,103188,0.68056,positive,3,4627,1
"a gleefully grungy , hilariously wicked black comedy ...",62552,0.86111,very positive,4,4328,1
a good film that must have baffled the folks in the marketing department .,103189,0.81944,very positive,4,5127,1
"a great , participatory spectator sport . '",221778,0.69444,positive,3,4619,1
a guiltless film for nice evening out .,62553,0.68056,positive,3,3020,1
"a ho-hum affair , always watchable yet hardly memorable .",181289,0.41667,neutral,2,11422,1
