,phrase,phrase ids,sentiment values,overall sentiment,sentiment_value,sentence_index,splitset_label
0,The Sum of All Fears is simply a well-made and satisfying thriller .,102340,0.88889,very positive,4,4860,1
1,They 're out there ! '',221244,0.61111,positive,3,7251,1
2,is a temporal inquiry that shoulders its philosophical burden lightly .,221388,0.69444,positive,3,5477,1
3,I also wanted a little alien as a friend !,221714,0.69444,positive,3,5576,1
4,"West Coast rap wars , this modern mob music drama never fails to fascinate .",221716,0.76389,positive,3,2338,1
5,greaseballs mob action-comedy .,142685,0.36111,negative,1,7166,1
6,spy action flick with Antonio Banderas and Lucy Liu never comes together .,221720,0.16667,very negative,0,11305,1
7,"style cross-country adventure ... it has sporadic bursts of liveliness , some so-so slapstick and a few ear-pleasing songs on its soundtrack .",221722,0.70833,positive,3,11409,1
8,but certainly hard to hate .,221739,0.61111,positive,3,7163,1
9,but it makes for one of the most purely enjoyable and satisfying evenings at the movies I 've had in a while .,221741,0.81944,very positive,4,2732,1
10,is a crime that should be punishable by chainsaw .,221750,0.27778,negative,1,6580,1
11,that the ` true story ' by which All the Queen 's Men is allegedly `` inspired '' was a lot funnier and more deftly enacted than what 's been cobbled together onscreen .,221754,0.22222,negative,1,7778,1
12,was a fad that had long since vanished .,221761,0.41667,neutral,2,10865,1
13,"Blade II is still top-heavy with blazing guns , cheatfully filmed martial arts , disintegrating bloodsucker computer effects and jagged camera moves that serve no other purpose than to call attention to themselves .",181282,0.16667,very negative,0,11495,1
14,"Despite lagging near the finish line , the movie runs a good race , one that will have you at the edge of your seat for long stretches . '",62545,0.77778,positive,3,3019,1
15,"Ice Age treads predictably along familiar territory , making it a passable family film that wo n't win many fans over the age of 12 .",103179,0.43056,neutral,2,5877,1
16,"Jones , despite a definitely distinctive screen presence , just is n't able to muster for a movie that , its title notwithstanding , should have been a lot nastier if it wanted to fully capitalize on its lead 's specific gifts .",103180,0.55556,neutral,2,5998,1
17,Liotta is put in an impossible spot because his character 's deceptions ultimately undo him and the believability of the entire scenario .,221768,0.27778,negative,1,9890,1
18,Myers has turned his franchise into the movie version of an adolescent dirty-joke book done up in post-Tarantino pop-culture riffs ...,103182,0.5,neutral,2,4879,1
19,Pray does n't have a passion for the material .,221770,0.30556,negative,1,2950,1
20,Rogers 's mouth never stops shut about the war between the sexes and how to win the battle .,62548,0.68056,positive,3,3444,1
21,"Stylistically , the movie is a disaster .",221771,0.11111,very negative,0,7144,1
22,"Tara Reid plays a college journalist , but she looks like the six-time winner of the Miss Hawaiian Tropic Pageant , so I do n't know what she 's doing in here ...",142764,0.34722,negative,1,7062,1
23,The movie feels stitched together from stock situations and characters from other movies .,221773,0.25,negative,1,9515,1
24,"Wallace is smart to vary the pitch of his movie , balancing deafening battle scenes with quieter domestic scenes of women back home receiving War Department telegrams .",62550,0.77778,positive,3,3486,1
25,Watching it was painful .,221774,0.31944,negative,1,11617,1
26,Bowling for Columbine '' remains a disquieting and thought-provoking film ...,221775,0.77778,positive,3,2737,1
27,"a bland , pretentious mess .",142767,0.22222,negative,1,7111,1
28,a bland murder-on-campus yawner .,3467,0.013889,very negative,0,6173,1
29,"a cheap , ludicrous attempt at serious horror .",103184,0.11111,very negative,0,6476,1
30,a cinematic disaster so inadvertently sidesplitting it 's worth the price of admission for the ridicule factor alone .,142769,0.31944,negative,1,6992,1
31,"a complete shambles of a movie so sloppy , so uneven , so damn unpleasant that I ca n't believe any viewer , young or old , would have a good time here .",103185,0.027778,very negative,0,6616,1
32,a confusing drudgery .,221776,0.22222,negative,1,11821,1
33,a delicious crime drama on par with the slickest of Mamet .,62551,0.93056,very positive,4,4257,1
34,"a delightfully unpredictable , hilarious comedy with wonderful performances that tug at your heart in ways that utterly transcend gender labels .",103186,0.875,very positive,4,4843,1
35,a fairly disposable yet still entertaining B picture .,103187,0.45833,neutral,2,5150,1
36,"a fascinating curiosity piece -- fascinating , that is , for about ten minutes .",221777,0.30556,negative,1,10773,1
37,a funny yet dark and seedy clash of cultures and generations .,103188,0.68056,positive,3,4627,1
38,"a gleefully grungy , hilariously wicked black comedy ...",62552,0.86111,very positive,4,4328,1
39,a good film that must have baffled the folks in the marketing department .,103189,0.81944,very positive,4,5127,1
40,"a great , participatory spectator sport . '",221778,0.69444,positive,3,4619,1
41,a guiltless film for nice evening out .,62553,0.68056,positive,3,3020,1
42,"a ho-hum affair , always watchable yet hardly memorable .",181289,0.41667,neutral,2,11422,1
43,a hokey piece of nonsense that tries too hard to be emotional .,142770,0.16667,very negative,0,7264,1
44,a lesson in prehistoric hilarity .,43850,0.59722,neutral,2,2104,1
45,"a light , yet engrossing piece .",221779,0.75,positive,3,2671,1
46,"a low rate Annie featuring some kid who ca n't act , only echoes of Jordan , and weirdo actor Crispin Glover screwing things up old school .",181290,0.27778,negative,1,10068,1
47,a mostly boring affair with a confusing sudden finale that 's likely to irk viewers .,103190,0.40278,neutral,2,6033,1
48,"a movie that , quite simply , should n't have been made .",181291,0.11111,very negative,0,11590,1
49,"a plotline that 's as lumpy as two-day old porridge ... the filmmakers ' paws , sad to say , were all over this `` un-bear-able '' project !",221780,0.11111,very negative,0,7709,1
50,a powerful sequel and one of the best films of the year .,103191,0.86111,very positive,4,4987,1
51,a preachy parable stylized with a touch of John Woo bullet ballet .,181292,0.5,neutral,2,10540,1
52,a pretentious and ultimately empty examination of a sick and evil woman .,103192,0.33333,negative,1,5745,1
53,a pretentious mess ...,221781,0.13889,very negative,0,11751,1
54,a pretentious mess ...,221781,0.13889,very negative,0,11807,1
55,a quietly introspective portrait of the self-esteem of employment and the shame of losing a job ...,103194,0.65278,positive,3,5318,1
56,a rather bland affair .,181293,0.31944,negative,1,11372,1
57,a rich and intelligent film that uses its pulpy core conceit to probe questions of attraction and interdependence and how the heart accomodates practical needs .,221782,0.91667,very positive,4,3428,1
58,a series of tales told with the intricate preciseness of the best short story writing .,62559,0.875,very positive,4,3222,1
59,"a solid , unassuming drama .",103195,0.72222,positive,3,4977,1
60,"a solid , well-formed satire .",62560,0.83333,very positive,4,2486,1
61,"a somber film , almost completely unrelieved by any comedy beyond the wistful everyday ironies of the working poor .",62561,0.47222,neutral,2,4347,1
62,a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... The film 's ending has a `` What was it all for ? '',221789,0.16667,very negative,0,896,1
63,"a spoof comedy that carries its share of laughs -- sometimes a chuckle , sometimes a guffaw and , to my great pleasure , the occasional belly laugh .",221790,0.86111,very positive,4,1241,1
64,"a story , an old and scary one , about the monsters we make , and the vengeance they take .",62562,0.5,neutral,2,2747,1
65,"a sweetly affecting story about four sisters who are coping , in one way or another , with life 's endgame .",103196,0.65278,positive,3,5659,1
66,a thoughtful what-if for the heart as well as the mind .,62563,0.80556,very positive,4,3149,1
67,a trashy little bit of fluff stuffed with enjoyable performances and a bewildering sense of self-importance,43852,0.41667,neutral,2,1951,1
68,a triumph of emotionally and narratively complex filmmaking .,43853,0.84722,very positive,4,1855,1
69,a true delight .,221791,0.91667,very positive,4,11636,1
70,"a visually seductive , unrepentantly trashy take on Rice 's second installment of her Vampire Chronicles .",62564,0.59722,neutral,2,3071,1
71,"a vivid , thoughtful , unapologetically raw coming-of-age tale full of sex , drugs and rock 'n' roll .",62565,0.875,very positive,4,3326,1
72,a weak and ineffective ghost story without a conclusion or pay off .,103197,0.16667,very negative,0,6215,1
73,about as exciting to watch as two last-place basketball teams playing one another on the final day of the season .,181295,0.13889,very negative,0,10693,1
74,although this idea is `` new '' the results are tired .,221793,0.23611,negative,1,7593,1
75,an adorably whimsical comedy that deserves more than a passing twinkle .,103200,0.76389,positive,3,5532,1
76,"an airless , prepackaged Julia Roberts wannabe that stinks so badly of hard-sell image-mongering you 'll wonder if Lopez 's publicist should share screenwriting credit .",142774,0.125,very negative,0,6770,1
77,"an eerily suspenseful , deeply absorbing piece that works as a treatise on spirituality as well as a solid sci-fi thriller .",62567,0.83333,very positive,4,2355,1
78,an enjoyably frothy ` date movie ' ...,62568,0.83333,very positive,4,4160,1
79,"an hour-and-a-half of inoffensive , unmemorable filler .",142775,0.16667,very negative,0,6893,1
80,"an incredibly heavy-handed , manipulative dud that feels all too familiar .",181296,0.11111,very negative,0,9676,1
81,an interesting slice of history .,62569,0.72222,positive,3,3964,1
82,another example of how Sandler is losing his touch .,181298,0.20833,negative,1,9643,1
83,begins on a high note and sustains it beautifully .,43855,0.77778,positive,3,2168,1
84,"begins with promise , but runs aground after being snared in its own tangled plot .",43856,0.30556,negative,1,1824,1
85,"best seen as speculative history , as much an exploration of the paranoid impulse as a creative sequel to the Warren Report .",43857,0.54167,neutral,2,1803,1
86,better described as a ghost story gone badly awry .,181301,0.33333,negative,1,11283,1
87,bibbidy-bobbidi-bland .,221795,0.18056,very negative,0,11748,1
88,"bright , intelligent , and humanly funny film .",103203,0.84722,very positive,4,4923,1
89,built on the premise that middle-class Arkansas consists of monster truck-loving good ol' boys and peroxide blond honeys whose worldly knowledge comes from TV reruns and supermarket tabloids .,181302,0.375,negative,1,10318,1
90,"by the time it 's done with us , Mira Nair 's new movie has its audience giddy with the delight of discovery , of having been immersed in a foreign culture only to find that human nature is pretty much the same all over .",103205,0.80556,very positive,4,4672,1
91,"certainly an entertaining ride , despite many talky , slow scenes .",221797,0.65278,positive,3,5398,1
92,comes alive only when it switches gears to the sentimental .,181304,0.34722,negative,1,9983,1
93,contains very few laughs and even less surprises .,103207,0.27778,negative,1,6274,1
94,could easily be called the best Korean film of 2002 .,103209,0.95833,very positive,4,4652,1
95,"creates a visceral sense of its characters ' lives and conflicted emotions that carries it far above ... what could have been a melodramatic , Lifetime Channel-style anthology .",43859,0.43056,neutral,2,1827,1
96,del Toro maintains a dark mood that makes the film seem like something to endure instead of enjoy .,142780,0.31944,negative,1,7279,1
97,delivers few moments of inspiration amid the bland animation and simplistic story .,103211,0.40278,neutral,2,6680,1
98,digs beyond the usual portrayals of good kids and bad seeds to reveal a more ambivalent set of characters and motivations .,103212,0.66667,positive,3,4905,1
99,either you 're willing to go with this claustrophobic concept or you 're not .,103214,0.43056,neutral,2,4884,1
100,"enthusiastically invokes the percussion rhythm , the brass soul and the sense of fierce competition that helps make great marching bands half the fun of college football games .",62575,0.77778,positive,3,3924,1
101,"even if you 've never heard of Chaplin , you 'll still be glued to the screen .",103216,0.94444,very positive,4,5023,1
102,"expands the horizons of boredom to the point of collapse , turning into a black hole of dullness , from which no interesting concept can escape .",181305,0.38889,negative,1,9607,1
103,"flat-out amusing , sometimes endearing and often fabulous , with a solid cast , noteworthy characters , delicious dialogue and a wide supply of effective sight gags .",62576,0.73611,positive,3,3056,1
104,"for all its social and political potential , State Property does n't end up being very inspiring or insightful .",181308,0.22222,negative,1,11331,1
105,fuses the events of her life with the imagery in her paintings so vividly that the artist 's work may take on a striking new significance for anyone who sees the film .,62577,0.84722,very positive,4,3987,1
106,"generically , forgettably pleasant from start to finish .",142782,0.59722,neutral,2,7184,1
107,"grows decidedly flimsier with its many out-sized , out of character and logically porous action set pieces .",142783,0.16667,very negative,0,6952,1
108,"has about 3\/4th the fun of its spry 2001 predecessor -- but it 's a rushed , slapdash , sequel-for-the-sake - of-a-sequel with less than half the plot and ingenuity .",221800,0.16667,very negative,0,9063,1
109,"has its moments , but ultimately , its curmudgeon does n't quite make the cut of being placed on any list of favorites .",181310,0.43056,neutral,2,10479,1
110,"hits every cliche we 've come to expect , including the assumption that `` crazy '' people are innocent , childlike and inherently funny .",221803,0.33333,negative,1,2426,1
111,hokey art house pretension .,103219,0.31944,negative,1,6214,1
