,phrase,actual rating,predicted
0,"Designed to provide a mix of smiles and tears , `` Crossroads '' instead provokes a handful of unintentional howlers and numerous yawns .",negative,negative
1,a hollow joke told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it .,negative,negative
2,is an arthritic attempt at directing by Callie Khouri .,negative,negative
3,nothing scary here except for some awful acting and lame special effects .,negative,negative
4,plays like somebody spliced random moments of a Chris Rock routine into what is otherwise a cliche-riddled but self-serious spy thriller .,negative,negative
5,takes the beauty of baseball and melds it with a story that could touch anyone regardless of their familiarity with the sport,positive,positive
6,"A better title , for all concerned , might be Swept Under the Rug .",negative,negative
7,A bloated gasbag thesis grotesquely impressed by its own gargantuan aura of self-importance ...,very negative,very negative
8,"A broad , melodramatic estrogen opera that 's pretty toxic in its own right .",negative,negative
9,A by-the-numbers effort that wo n't do much to enhance the franchise .,negative,negative
10,A dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going .,negative,negative
11,A hamfisted romantic comedy that makes our girl the hapless facilitator of an extended cheap shot across the Mason-Dixon line .,negative,negative
12,"A lackluster , unessential sequel to the classic Disney adaptation of J.M. Barrie 's Peter Pan .",very negative,very negative
13,"A morose little soap opera about three vapid , insensitive people who take turns hurting each other .",neutral,neutral
14,A sequel that 's much too big for its britches .,negative,negative
15,A sequence of ridiculous shoot - 'em - up scenes .,negative,negative
16,A string of rehashed sight gags based in insipid vulgarity .,negative,negative
17,A subject like this should inspire reaction in its audience ; The Pianist does not .,negative,negative
18,A valueless kiddie paean to pro basketball underwritten by the NBA .,negative,negative
19,"Adults will wish the movie were less simplistic , obvious , clumsily plotted and shallowly characterized .",negative,negative
20,Affleck and Jackson are good sparring partners .,positive,positive
21,"All the amped-up Tony Hawk-style stunts and thrashing rap-metal ca n't disguise the fact that , really , we 've been here , done that .",negative,negative
22,"Although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women .",positive,positive
23,"An occasionally funny , but overall limp , fish-out-of-water story .",negative,negative
24,"An overemphatic , would-be wacky , ultimately tedious sex farce .",negative,negative
25,An unclassifiably awful study in self - and audience-abuse .,very negative,very negative
26,An unwise amalgam of Broadcast News and Vibes .,negative,negative
