,phrase,actual rating,predicted
0,"Brian De Palma is utterly mad : cinema mad , set-piece mad , style mad .",neutral,very negative
1,"Mafia , rap stars and hood rats butt their ugly heads in a regurgitation of cinematic violence that gives brutal birth to an unlikely , but likable , hero . '",positive,very negative
2,a boring parade of talking heads and technical gibberish that will do little to advance the Linux cause .,negative,very negative
3,"a fun little timewaster , helped especially by the cool presence of Jean Reno .",positive,neutral
4,"a good , if not entirely fresh , look at war .",neutral,very negative
5,a magnificent drama well worth tracking down .,very positive,negative
6,"a story we have n't seen on the big screen before , and it 's a story that we as Americans , and human beings , should know .",positive,very negative
7,"an otherwise intense , twist-and-turn thriller that certainly should n't hurt talented young Gaghan 's resume .",positive,neutral
8,"plot holes so large and obvious a marching band might as well be stomping through them in clown clothes , playing a college football fight song on untuned instruments .",very negative,negative
9,"routine , harmless diversion and little else .",positive,very negative
10,the movie is just a plain old monster .,very negative,negative
11,think of it as American Pie On Valium .,neutral,negative
12,turns so unforgivably trite in its last 10 minutes that anyone without a fortified sweet tooth will likely go into sugar shock .,very negative,negative
13,with `` The Bourne Identity '' we return to the more traditional action genre .,positive,negative
14,minutes of rolling musical back beat and supercharged cartoon warfare .,neutral,very negative
15,A beautifully made piece of unwatchable drivel .,neutral,negative
16,"A beguiling , slow-moving parable about the collision of past and present on a remote seacoast in Iran .",neutral,negative
17,A beguiling splash of pastel colors and prankish comedy from Disney .,very positive,negative
18,"A big , gorgeous , sprawling swashbuckler that delivers its diversions in grand , uncomplicated fashion .",very positive,very negative
19,"A breezy romantic comedy that has the punch of a good sitcom , while offering exceptionally well-detailed characters .",very positive,very negative
20,"A cartoon that 's truly cinematic in scope , and a story that 's compelling and heartfelt -- even if the heart belongs to a big , four-legged herbivore .",positive,very negative
21,"A celebration of quirkiness , eccentricity , and certain individuals ' tendency to let it all hang out , and damn the consequences .",positive,very negative
22,A coarse and stupid gross-out .,negative,very negative
23,"A coda in every sense , The Pinochet Case splits time between a minute-by-minute account of the British court 's extradition chess game and the regime 's talking-head survivors .",very positive,very negative
24,A compelling Spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession .,positive,negative
25,A deep and meaningful film .,very positive,very negative
26,"A delectable and intriguing thriller filled with surprises , Read My Lips is an original .",very positive,very negative
27,A delightful coming-of-age story .,positive,neutral
28,A delirious celebration of the female orgasm .,neutral,very negative
29,"A densely constructed , highly referential film , and an audacious return to form that can comfortably sit among Jean-Luc Godard 's finest work .",very positive,very negative
30,"A difficult , absorbing film that manages to convey more substance despite its repetitions and inconsistencies than do most films than are far more pointed and clear .",positive,very negative
31,"A disappointment for those who love alternate versions of the Bard , particularly ones that involve deep fryers and hamburgers .",negative,very negative
32,"A fast , funny , highly enjoyable movie .",very positive,very negative
33,A film about a young man finding God that is accessible and touching to the marrow .,positive,very negative
34,"A fitfully amusing romp that , if nothing else , will appeal to fans of Malcolm in the Middle and its pubescent star , Frankie Muniz .",positive,very negative
35,"A full world has been presented onscreen , not some series of carefully structured plot points building to a pat resolution .",positive,very negative
36,A giggle a minute .,very positive,very negative
37,A giggle-inducing comedy with snappy dialogue and winning performances by an unlikely team of Oscar-winners : Susan Sarandon and Goldie Hawn .,positive,negative
38,A good piece of work more often than not .,positive,neutral
39,"A gorgeous , high-spirited musical from India that exquisitely blends music , dance , song , and high drama .",very positive,very negative
40,"A gorgeous , witty , seductive movie .",positive,very negative
41,A great ensemble cast ca n't lift this heartfelt enterprise out of the familiar .,very negative,negative
42,A grimly competent and stolid and earnest military courtroom drama .,positive,very negative
43,"A gripping , searing portrait of a lost soul trying to find her way through life .",neutral,negative
44,"A gripping movie , played with performances that are all understated and touching .",very positive,very negative
